epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.745,3.04508,14.4799,4.23105,0,0,0,0,4.60076,18.043,5.59068,0,0,0
2,221.882,3.08744,19.5759,3.66125,0,0,0,0,4.47768,14.085,5.61868,1.802e-05,1.802e-05,1.802e-05
3,314.871,2.73784,10.1525,3.44132,0.0055,0.5,0.01457,0.00146,4.05911,9.32842,4.96328,3.208e-05,3.208e-05,3.208e-05
4,401.92,2.95582,8.63992,3.9982,0,0,0,0,3.59396,8.89042,4.2262,4.218e-05,4.218e-05,4.218e-05
5,484.988,2.5902,6.94357,3.22599,0.00167,0.5,0.00169,0.00068,3.17015,10.0532,3.56982,4.832e-05,4.832e-05,4.832e-05
6,559.658,2.41471,8.30491,2.71331,0.00333,1,0.00481,0.0015,3.07013,10.5733,3.4314,5.05e-05,5.05e-05,5.05e-05
7,640.908,2.28202,6.0527,2.67735,0.00333,1,0.00589,0.0024,3.01688,10.5333,3.27828,4.872e-05,4.872e-05,4.872e-05
8,720.05,2.22217,5.48963,2.46482,0.00333,1,0.01384,0.00471,3.0235,9.78654,3.22018,4.298e-05,4.298e-05,4.298e-05
9,821.767,2.2042,5.60801,2.48029,0.0017,0.5,0.01876,0.00741,2.9743,9.28391,3.11923,3.328e-05,3.328e-05,3.328e-05
10,903.175,1.386,4.82288,1.9212,0.00167,0.5,0.01946,0.00803,2.93075,8.72655,3.06437,1.962e-05,1.962e-05,1.962e-05
